"";"UniqueID";"echantillon";"num";"NirsID";"geno";"grappe";"baie";"doy";"grappebaie";"Grappe";"date_sp";"DateDOY";"pred";"cépage";"Id";"Notes";"sugar_cal";"Berry";"genoID";"IdBerry";"glucose";"fructose";"somme_GF";"rapport_GF";"malate";"tartrate";"shikimate";"rapport_MT";"poids_baie"
"1";"grappe1.1.01.08.22_2441";"grappe1.1.01.08.22";2441;"Ugni blanc-grappe1-1-213-2441";"Ugni blanc";"grappe1";"1";"213";"grappe1-1";"grappe1";"01.08.22";213;"V";"Ugni blanc";"grappe1-1.sam";NA;786,880265786876;"1";"Ugni blanc-grappe1-1";"grappe1-1";400,845097057733;386,035168729143;817,669962146598;1,17856690563817;56,41049626245;147,803316881822;277,599590034726;0,439815020535337;1,66118352296063
"2";"grappe1.1.01.08.22_2461";"grappe1.1.01.08.22";2461;"Ugni blanc-grappe1-1-213-2461";"Ugni blanc";"grappe1";"1";"213";"grappe1-1";"grappe1";"01.08.22";213;"V";"Ugni blanc";"grappe1bis-1.sam";NA;940,531946684584;"1";"Ugni blanc-grappe1-1";"grappe1bis-1";487,610034114922;452,921912569663;723,977685120475;1,32197788341442;60,0956435464635;150,938524243118;393,130676190365;0,547236133746326;1,68778141128137
"6";"grappe1.1.03.08.22_2535";"grappe1.1.03.08.22";2535;"Ugni blanc-grappe1-1-215-2535";"Ugni blanc";"grappe1";"1";"215";"grappe1-1";"grappe1";"03.08.22";215;"V";"Ugni blanc";"grappe1-1.sam";NA;910,171834973515;"1";"Ugni blanc-grappe1-1";"grappe1-1";516,534622389861;393,637212583654;642,517519323714;1,27408961586379;65,1296017566788;149,661325292135;703,974404220253;0,557771356491801;1,57546268984435
"8";"grappe1.1.05.08.22_2369";"grappe1.1.05.08.22";2369;"Ugni blanc-grappe1-1-217-2369";"Ugni blanc";"grappe1";"1";"217";"grappe1-1";"grappe1";"05.08.22";217;"V";"Ugni blanc";"grappe1-1.sam";NA;1065,51816491874;"1";"Ugni blanc-grappe1-1";"grappe1-1";589,549248242423;475,968916676315;807,207756655234;1,27094827411044;18,7151978789743;158,072331384796;323,350497613316;-0,099460179025621;1,80195542332984
"9";"grappe1.1.08.07.22_2352";"grappe1.1.08.07.22";2352;"Ugni blanc-grappe1-1-189-2352";"Ugni blanc";"grappe1";"1";"189";"grappe1-1";"grappe1";"08.07.22";189;"NV";"Ugni blanc";"grappe1-1.sam";NA;4,46242934890637;"1";"Ugni blanc-grappe1-1";"grappe1-1";-7,5735012415098;12,0359305904162;86,1175360664749;2,17913598317319;253,459447939369;188,189661474203;1029,33972842427;1,59018627721387;1,37923537968635
"10";"grappe1.1.08.08.22_2401";"grappe1.1.08.08.22";2401;"Ugni blanc-grappe1-1-220-2401";"Ugni blanc";"grappe1";"1";"220";"grappe1-1";"grappe1";"08.08.22";220;"V";"Ugni blanc";"grappe1-1.sam";NA;893,050190050854;"1";"Ugni blanc-grappe1-1";"grappe1-1";492,93328879159;400,116901259264;860,539847607148;1,09742856547444;79,390812707871;147,536458557356;720,976846335075;0,550515882075278;1,64414041343175
"11";"grappe1.1.08.08.22_2417";"grappe1.1.08.08.22";2417;"Ugni blanc-grappe1-1-220-2417";"Ugni blanc";"grappe1";"1";"220";"grappe1-1";"grappe1";"08.08.22";220;"V";"Ugni blanc";"grappe1bis-1.sam";NA;927,684219813645;"1";"Ugni blanc-grappe1-1";"grappe1bis-1";491,019913558971;436,664306254674;796,628354563279;0,868582214057412;72,8446532753197;141,21130091086;632,635664251762;0,732906098681437;1,65967407797943
"15";"grappe1.1.10.08.22_2374";"grappe1.1.10.08.22";2374;"Ugni blanc-grappe1-1-222-2374";"Ugni blanc";"grappe1";"1";"222";"grappe1-1";"grappe1";"10.08.22";222;"V";"Ugni blanc";"grappe1-1.sam";NA;1188,97503437605;"1";"Ugni blanc-grappe1-1";"grappe1-1";589,615186931493;599,359847444555;1179,21028608266;1,42279171070965;49,1025708468473;156,111755007329;447,510891730905;-0,109923807877247;1,78155762000361
"16";"grappe1.1.11.07.22_2496";"grappe1.1.11.07.22";2496;"Ugni blanc-grappe1-1-192-2496";"Ugni blanc";"grappe1";"1";"192";"grappe1-1";"grappe1";"11.07.22";192;"NV";"Ugni blanc";"grappe1-1.sam";NA;293,036930406678;"1";"Ugni blanc-grappe1-1";"grappe1-1";56,1073548498954;236,929575556782;518,983372086354;2,03524787825873;277,572268686874;210,490066152371;1140,47339539776;1,59304199558773;1,35615047258356
"18";"grappe1.1.12.08.22_2416";"grappe1.1.12.08.22";2416;"Ugni blanc-grappe1-1-224-2416";"Ugni blanc";"grappe1";"1";"224";"grappe1-1";"grappe1";"12.08.22";224;"V";"Ugni blanc";"grappe1-1.sam";NA;1256,21169451128;"1";"Ugni blanc-grappe1-1";"grappe1-1";734,207709550269;522,003984961009;865,646801478258;1,18272821072507;-11,7481424822363;155,92110654187;376,529439020399;-0,257364926568593;1,67400621010116
