"";"echantillon";"R_squared";"c";"b";"a";"baieid"
"1";"Carmenere_grappe7-1";0,543746246074133;-12533,3203925774;117,93912943949;-0,26263424113527;"Carmeneregrappe7baie1"
"2";"Carmenere_grappe7-2";0,760665530333669;-18048,4080317118;162,990094222575;-0,350534385549042;"Carmeneregrappe7baie2"
"3";"Carmenere_grappe7-3";0,687409190345599;-11569,8391517586;104,450148659899;-0,220622475725325;"Carmeneregrappe7baie3"
"4";"Carmenere_grappe7-4";0,410070403260855;-2672,39460722353;22,9993878459105;-0,0351825473542397;"Carmeneregrappe7baie4"
"5";"Carmenere_grappe7-5";0,736927001889527;-17329,0648678134;158,220209917214;-0,344763107315467;"Carmeneregrappe7baie5"
"6";"Carmenere_grappe7-6";0,592685217873645;-467,544970109973;-3,13266412333636;0,0354941724988869;"Carmeneregrappe7baie6"
"7";"Carmenere_grappe7-7";0,620070537455565;-13907,1610589622;125,256128843313;-0,265368817015201;"Carmeneregrappe7baie7"
"8";"Carmenere_grappe7-8";0,591318065599395;-14427,386431907;126,613795805956;-0,262301558075125;"Carmeneregrappe7baie8"
"9";"Carmenere_grappe8-1";0,446671870584736;-12534,0203427268;118,20519091826;-0,265508121397882;"Carmeneregrappe8baie1"
"10";"Carmenere_grappe8-2";0,0116059704194783;2818,8337369565;-25,275359583697;0,0704702304658864;"Carmeneregrappe8baie2"
"11";"Carmenere_grappe8-3";0,129801449278211;-45257,2072196922;455,17407237467;-1,13070550128155;"Carmeneregrappe8baie3"
"12";"Carmenere_grappe8-5";0,493143931810714;-13955,6535946669;127,643639447687;-0,275832094935513;"Carmeneregrappe8baie5"
"13";"Carmenere_grappe8-6";0,457049866379007;-69712,3447119269;687,787030550722;-1,68309348115416;"Carmeneregrappe8baie6"
"14";"Carmenere_grappe8-7";0,418440642618247;-5753,87056887865;48,9386210902559;-0,0924804826982137;"Carmeneregrappe8baie7"
"15";"Carmenere_grappe8-8";0,430178214692317;9660,36532884627;-106,705365488047;0,301418852650763;"Carmeneregrappe8baie8"
"16";"Carmenere_grappe9-1";0,542799081139674;-11340,6060785952;101,450535502444;-0,206186891887184;"Carmeneregrappe9baie1"
