"";"cépage";"echantillon";"date_sp";"malate";"tartrate";"glucose";"fructose";"shikimate";"somme_GF";"rapport_GF";"rapport_MT";"Notes";"Berry";"DateDOY";"poids_baie";"millesime";"couleur";"NIRS.908.1";"NIRS.914.294";"NIRS.920.489";"NIRS.926.683";"NIRS.932.877";"NIRS.939.072";"NIRS.945.266";"NIRS.951.46";"NIRS.957.655";"NIRS.963.849";"NIRS.970.044";"NIRS.976.238";"NIRS.982.432";"NIRS.988.627";"NIRS.994.821";"NIRS.1001.015";"NIRS.1007.21";"NIRS.1013.404";"NIRS.1019.598";"NIRS.1025.793";"NIRS.1031.987";"NIRS.1038.181";"NIRS.1044.376";"NIRS.1050.57";"NIRS.1056.764";"NIRS.1062.959";"NIRS.1069.153";"NIRS.1075.348";"NIRS.1081.542";"NIRS.1087.736";"NIRS.1093.931";"NIRS.1100.125";"NIRS.1106.319";"NIRS.1112.514";"NIRS.1118.708";"NIRS.1124.902";"NIRS.1131.097";"NIRS.1137.291";"NIRS.1143.485";"NIRS.1149.68";"NIRS.1155.874";"NIRS.1162.069";"NIRS.1168.263";"NIRS.1174.457";"NIRS.1180.652";"NIRS.1186.846";"NIRS.1193.04";"NIRS.1199.235";"NIRS.1205.429";"NIRS.1211.623";"NIRS.1217.818";"NIRS.1224.012";"NIRS.1230.206";"NIRS.1236.401";"NIRS.1242.595";"NIRS.1248.789";"NIRS.1254.984";"NIRS.1261.178";"NIRS.1267.373";"NIRS.1273.567";"NIRS.1279.761";"NIRS.1285.956";"NIRS.1292.15";"NIRS.1298.344";"NIRS.1304.539";"NIRS.1310.733";"NIRS.1316.927";"NIRS.1323.122";"NIRS.1329.316";"NIRS.1335.51";"NIRS.1341.705";"NIRS.1347.899";"NIRS.1354.094";"NIRS.1360.288";"NIRS.1366.482";"NIRS.1372.677";"NIRS.1378.871";"NIRS.1385.065";"NIRS.1391.26";"NIRS.1397.454";"NIRS.1403.648";"NIRS.1409.843";"NIRS.1416.037";"NIRS.1422.231";"NIRS.1428.426";"NIRS.1434.62";"NIRS.1440.814";"NIRS.1447.009";"NIRS.1453.203";"NIRS.1459.398";"NIRS.1465.592";"NIRS.1471.786";"NIRS.1477.981";"NIRS.1484.175";"NIRS.1490.369";"NIRS.1496.564";"NIRS.1502.758";"NIRS.1508.952";"NIRS.1515.147";"NIRS.1521.341";"NIRS.1527.535";"NIRS.1533.73";"NIRS.1539.924";"NIRS.1546.119";"NIRS.1552.313";"NIRS.1558.507";"NIRS.1564.702";"NIRS.1570.896";"NIRS.1577.09";"NIRS.1583.285";"NIRS.1589.479";"NIRS.1595.673";"NIRS.1601.868";"NIRS.1608.062";"NIRS.1614.256";"NIRS.1620.451";"NIRS.1626.645";"NIRS.1632.839";"NIRS.1639.034";"NIRS.1645.228";"NIRS.1651.423";"NIRS.1657.617";"NIRS.1663.811";"NIRS.1670.006";"NIRS.1676.2"
"1";"carmenere";"Etalon3-9";2022-07-26; 59.1012151;162.52445; 351.65854; 281.783183; 316.09453; 633.44173;1.2479756; 0.363645072;"carmenere";"9";207;0.6620;"2022";"rouge"; 3.442711e-01; 3.518040e-01; 3.654087e-01; 3.479448e-01; 3.123526e-01; 3.175344e-01; 3.232981e-01; 3.354090e-01; 3.574090e-01; 3.909372e-01; 4.252529e-01; 4.413349e-01; 4.603989e-01; 4.673693e-01; 4.645127e-01; 4.489906e-01; 4.331151e-01; 4.180106e-01; 4.007277e-01; 3.880299e-01; 3.755805e-01; 3.623935e-01; 3.510800e-01; 3.411644e-01; 3.301457e-01; 3.218434e-01; 3.162946e-01; 3.112976e-01; 3.061377e-01; 3.020303e-01; 2.972596e-01; 2.914183e-01; 2.837842e-01; 2.698493e-01; 2.584021e-01; 2.582361e-01; 2.644508e-01; 2.762296e-01; 2.823223e-01; 2.882721e-01; 2.995728e-01; 3.107758e-01; 3.168017e-01; 3.176227e-01; 3.170109e-01; 3.174755e-01; 3.177410e-01; 3.158667e-01; 3.151555e-01; 3.155955e-01; 3.160564e-01; 3.160935e-01; 3.158900e-01; 3.151485e-01; 3.138163e-01; 3.117696e-01; 3.088908e-01; 3.047518e-01; 3.030283e-01; 3.037576e-01; 3.050795e-01; 3.059320e-01; 3.057469e-01; 3.040196e-01; 3.021699e-01; 3.003242e-01; 2.988418e-01; 2.969136e-01; 2.937891e-01; 2.916009e-01; 2.878692e-01; 2.819110e-01; 2.783709e-01; 2.780291e-01; 2.785134e-01; 2.795874e-01; 2.810659e-01; 2.829152e-01; 2.848536e-01; 2.870235e-01; 2.886843e-01; 2.901038e-01; 2.913404e-01; 2.922971e-01; 2.930491e-01; 2.934802e-01; 2.938731e-01; 2.944975e-01; 2.954472e-01; 2.958198e-01; 2.952370e-01; 2.949984e-01; 2.949439e-01; 2.953723e-01; 2.963617e-01; 2.973715e-01; 2.980005e-01; 2.986295e-01; 2.989586e-01; 2.991826e-01; 2.992354e-01; 2.991429e-01; 2.988740e-01; 2.986321e-01; 2.982005e-01; 2.977463e-01; 2.971699e-01; 2.963383e-01; 2.958449e-01; 2.955935e-01; 2.953357e-01; 2.950468e-01; 2.946135e-01; 2.941833e-01; 2.940142e-01; 2.939453e-01; 2.937813e-01; 2.933540e-01; 2.930081e-01; 2.926120e-01; 2.923685e-01; 2.921759e-01; 2.918743e-01; 2.917017e-01; 2.916282e-01
"2";"carmenere";"Etalon1-34";2022-07-08;351.6347658;177.20380; 168.94895; 107.467335; 804.61709; 276.41629;1.5720958; 1.984352330;NA;"34";189;0.8750;"2022";"rouge"; 2.458767e-01; 2.421817e-01; 2.396675e-01; 2.359047e-01; 2.328246e-01; 2.311959e-01; 2.335494e-01; 2.371431e-01; 2.433522e-01; 2.486353e-01; 2.516060e-01; 2.524242e-01; 2.520767e-01; 2.512301e-01; 2.493184e-01; 2.457281e-01; 2.418195e-01; 2.376819e-01; 2.336347e-01; 2.297405e-01; 2.254039e-01; 2.215658e-01; 2.190903e-01; 2.167148e-01; 2.150040e-01; 2.137423e-01; 2.131944e-01; 2.133271e-01; 2.137986e-01; 2.145159e-01; 2.162370e-01; 2.177882e-01; 2.195390e-01; 2.201409e-01; 2.207796e-01; 2.236310e-01; 2.290748e-01; 2.366885e-01; 2.437048e-01; 2.498108e-01; 2.557489e-01; 2.601387e-01; 2.625021e-01; 2.630795e-01; 2.629178e-01; 2.633995e-01; 2.638535e-01; 2.633872e-01; 2.629655e-01; 2.627993e-01; 2.624795e-01; 2.619839e-01; 2.616224e-01; 2.610157e-01; 2.601830e-01; 2.594157e-01; 2.583828e-01; 2.569645e-01; 2.565622e-01; 2.571007e-01; 2.581722e-01; 2.592275e-01; 2.603210e-01; 2.612652e-01; 2.625214e-01; 2.637315e-01; 2.651675e-01; 2.666690e-01; 2.676303e-01; 2.688348e-01; 2.689056e-01; 2.680347e-01; 2.677378e-01; 2.684317e-01; 2.700687e-01; 2.722283e-01; 2.746278e-01; 2.776151e-01; 2.808948e-01; 2.838236e-01; 2.863564e-01; 2.883524e-01; 2.897280e-01; 2.909592e-01; 2.915663e-01; 2.919537e-01; 2.923686e-01; 2.926926e-01; 2.933954e-01; 2.934269e-01; 2.929600e-01; 2.925017e-01; 2.923414e-01; 2.921600e-01; 2.924350e-01; 2.925321e-01; 2.922774e-01; 2.922540e-01; 2.919315e-01; 2.914980e-01; 2.910182e-01; 2.905037e-01; 2.898102e-01; 2.893594e-01; 2.885676e-01; 2.878982e-01; 2.871932e-01; 2.863692e-01; 2.856209e-01; 2.851369e-01; 2.846892e-01; 2.841751e-01; 2.836014e-01; 2.830329e-01; 2.826435e-01; 2.824204e-01; 2.819197e-01; 2.814794e-01; 2.810125e-01; 2.805984e-01; 2.802752e-01; 2.800054e-01; 2.796675e-01; 2.794584e-01; 2.791884e-01
"3";"carmenere";"Etalon6-2";2022-08-11; 23.6515275;119.42912; 430.24632; 365.081704;  77.86845; 795.32803;1.1784933; 0.198038203;"carmenère";"2";223;1.2470;"2022";"rouge"; 2.434160e-01; 2.394988e-01; 2.375501e-01; 2.365824e-01; 2.355459e-01; 2.371435e-01; 2.363059e-01; 2.378855e-01; 2.389939e-01; 2.410890e-01; 2.406834e-01; 2.426090e-01; 2.425159e-01; 2.410674e-01; 2.399563e-01; 2.390913e-01; 2.376598e-01; 2.357519e-01; 2.341963e-01; 2.313740e-01; 2.294770e-01; 2.281771e-01; 2.267274e-01; 2.257247e-01; 2.250889e-01; 2.248230e-01; 2.245702e-01; 2.249198e-01; 2.256242e-01; 2.265361e-01; 2.278996e-01; 2.293882e-01; 2.311662e-01; 2.334000e-01; 2.353761e-01; 2.371687e-01; 2.401397e-01; 2.441973e-01; 2.485416e-01; 2.519510e-01; 2.538304e-01; 2.553464e-01; 2.565610e-01; 2.570437e-01; 2.573116e-01; 2.576747e-01; 2.580214e-01; 2.580934e-01; 2.580159e-01; 2.579360e-01; 2.577845e-01; 2.577250e-01; 2.573726e-01; 2.570964e-01; 2.569977e-01; 2.566643e-01; 2.564807e-01; 2.560618e-01; 2.559587e-01; 2.563119e-01; 2.566887e-01; 2.573015e-01; 2.579007e-01; 2.585147e-01; 2.593598e-01; 2.603203e-01; 2.614179e-01; 2.624908e-01; 2.635256e-01; 2.646439e-01; 2.653737e-01; 2.658951e-01; 2.663278e-01; 2.670198e-01; 2.679107e-01; 2.689589e-01; 2.704907e-01; 2.723259e-01; 2.742920e-01; 2.761110e-01; 2.780292e-01; 2.791812e-01; 2.798764e-01; 2.805556e-01; 2.808765e-01; 2.811276e-01; 2.811550e-01; 2.812111e-01; 2.814936e-01; 2.812677e-01; 2.810578e-01; 2.808578e-01; 2.805493e-01; 2.803523e-01; 2.801654e-01; 2.798610e-01; 2.797032e-01; 2.794687e-01; 2.791167e-01; 2.787494e-01; 2.784013e-01; 2.780338e-01; 2.776159e-01; 2.772014e-01; 2.768489e-01; 2.763946e-01; 2.760023e-01; 2.754914e-01; 2.751587e-01; 2.749153e-01; 2.745676e-01; 2.742587e-01; 2.739327e-01; 2.735218e-01; 2.732085e-01; 2.731251e-01; 2.727234e-01; 2.724422e-01; 2.722388e-01; 2.720022e-01; 2.717870e-01; 2.715787e-01; 2.712986e-01; 2.710557e-01; 2.707370e-01
"4";"carmenere";"Etalon8-52";2022-08-24; 22.3725359;135.70698; 599.68899; 549.264479;  43.38586;1148.95347;1.0918037; 0.164859134;NA;"52";236;1.0230;"2022";"rouge"; 2.506440e-01; 2.518820e-01; 2.475430e-01; 2.479350e-01; 2.461430e-01; 2.483690e-01; 2.501490e-01; 2.544400e-01; 2.610590e-01; 2.714580e-01; 2.831550e-01; 2.886290e-01; 2.944630e-01; 2.984740e-01; 2.965350e-01; 2.893420e-01; 2.815370e-01; 2.739630e-01; 2.657170e-01; 2.578320e-01; 2.505860e-01; 2.434390e-01; 2.377040e-01; 2.333610e-01; 2.290270e-01; 2.264600e-01; 2.257620e-01; 2.258670e-01; 2.266920e-01; 2.281450e-01; 2.306480e-01; 2.327930e-01; 2.347140e-01; 2.356080e-01; 2.365700e-01; 2.389990e-01; 2.429910e-01; 2.492950e-01; 2.546730e-01; 2.595590e-01; 2.663420e-01; 2.736760e-01; 2.783470e-01; 2.803730e-01; 2.806760e-01; 2.814430e-01; 2.820240e-01; 2.817320e-01; 2.816830e-01; 2.820550e-01; 2.828170e-01; 2.831480e-01; 2.831570e-01; 2.827460e-01; 2.818440e-01; 2.806060e-01; 2.785940e-01; 2.755550e-01; 2.746680e-01; 2.757420e-01; 2.769490e-01; 2.775700e-01; 2.774940e-01; 2.766600e-01; 2.756520e-01; 2.748290e-01; 2.744790e-01; 2.737280e-01; 2.722600e-01; 2.718100e-01; 2.709960e-01; 2.693160e-01; 2.686810e-01; 2.689610e-01; 2.696800e-01; 2.706300e-01; 2.715040e-01; 2.724290e-01; 2.734160e-01; 2.744280e-01; 2.751040e-01; 2.757990e-01; 2.761570e-01; 2.761940e-01; 2.763130e-01; 2.761990e-01; 2.760070e-01; 2.760320e-01; 2.763340e-01; 2.762280e-01; 2.758840e-01; 2.757540e-01; 2.757350e-01; 2.760200e-01; 2.766940e-01; 2.775660e-01; 2.783630e-01; 2.791110e-01; 2.795940e-01; 2.800870e-01; 2.804290e-01; 2.804550e-01; 2.806710e-01; 2.807770e-01; 2.805650e-01; 2.803530e-01; 2.800400e-01; 2.795130e-01; 2.791560e-01; 2.790590e-01; 2.790660e-01; 2.789040e-01; 2.786270e-01; 2.784190e-01; 2.783900e-01; 2.784980e-01; 2.783100e-01; 2.781300e-01; 2.778230e-01; 2.775940e-01; 2.774710e-01; 2.773420e-01; 2.771220e-01; 2.769610e-01; 2.767800e-01
"5";"carmenere";"Etalon1-32";2022-07-08;400.9190522;177.08135;  94.84255;  43.823859; 632.67416; 138.66641;2.1641761; 2.264038892;NA;"32";189;1.1760;"2022";"rouge"; 2.544047e-01; 2.481106e-01; 2.462301e-01; 2.431467e-01; 2.382421e-01; 2.380064e-01; 2.389995e-01; 2.434814e-01; 2.471629e-01; 2.535653e-01; 2.576261e-01; 2.581561e-01; 2.584955e-01; 2.584953e-01; 2.574575e-01; 2.538283e-01; 2.492690e-01; 2.457502e-01; 2.417857e-01; 2.379151e-01; 2.341383e-01; 2.298267e-01; 2.273114e-01; 2.248166e-01; 2.231896e-01; 2.215250e-01; 2.207837e-01; 2.204678e-01; 2.206122e-01; 2.215835e-01; 2.224944e-01; 2.235874e-01; 2.244940e-01; 2.242468e-01; 2.243361e-01; 2.265561e-01; 2.316615e-01; 2.391047e-01; 2.454592e-01; 2.510504e-01; 2.569693e-01; 2.612062e-01; 2.635640e-01; 2.641937e-01; 2.641972e-01; 2.645178e-01; 2.647765e-01; 2.644887e-01; 2.640632e-01; 2.640319e-01; 2.639392e-01; 2.633671e-01; 2.629457e-01; 2.626668e-01; 2.620857e-01; 2.612211e-01; 2.600700e-01; 2.584423e-01; 2.580451e-01; 2.587097e-01; 2.597878e-01; 2.607300e-01; 2.616783e-01; 2.624851e-01; 2.633709e-01; 2.643439e-01; 2.656381e-01; 2.667917e-01; 2.675213e-01; 2.685273e-01; 2.685725e-01; 2.674472e-01; 2.671610e-01; 2.677698e-01; 2.693557e-01; 2.714467e-01; 2.742666e-01; 2.775717e-01; 2.810768e-01; 2.842315e-01; 2.870141e-01; 2.890125e-01; 2.904617e-01; 2.915405e-01; 2.921773e-01; 2.927006e-01; 2.929774e-01; 2.932769e-01; 2.940021e-01; 2.941091e-01; 2.936220e-01; 2.932086e-01; 2.929615e-01; 2.928913e-01; 2.930975e-01; 2.932484e-01; 2.930392e-01; 2.928954e-01; 2.925598e-01; 2.921151e-01; 2.915701e-01; 2.910031e-01; 2.902461e-01; 2.896416e-01; 2.888994e-01; 2.881261e-01; 2.874148e-01; 2.864439e-01; 2.856460e-01; 2.851259e-01; 2.846761e-01; 2.840768e-01; 2.834888e-01; 2.828354e-01; 2.824244e-01; 2.822140e-01; 2.817446e-01; 2.812699e-01; 2.808241e-01; 2.804005e-01; 2.799720e-01; 2.797231e-01; 2.794302e-01; 2.792270e-01; 2.789444e-01
"6";"carmenere";"Etalon1-33";2022-07-08;308.3876489;130.66510;  69.70121;  33.703745; 512.40621; 103.40496;2.0680554; 2.360137799;NA;"33";189;1.2990;"2022";"rouge"; 2.550299e-01; 2.506929e-01; 2.479504e-01; 2.472682e-01; 2.433323e-01; 2.427262e-01; 2.449203e-01; 2.488782e-01; 2.563576e-01; 2.621644e-01; 2.661643e-01; 2.670506e-01; 2.676384e-01; 2.671426e-01; 2.655853e-01; 2.625468e-01; 2.575723e-01; 2.528900e-01; 2.487194e-01; 2.443688e-01; 2.405824e-01; 2.366944e-01; 2.333579e-01; 2.307912e-01; 2.289153e-01; 2.273854e-01; 2.261830e-01; 2.261788e-01; 2.266635e-01; 2.274129e-01; 2.284113e-01; 2.295441e-01; 2.309709e-01; 2.308484e-01; 2.309646e-01; 2.333844e-01; 2.389783e-01; 2.469381e-01; 2.535335e-01; 2.592581e-01; 2.652542e-01; 2.695675e-01; 2.718078e-01; 2.724698e-01; 2.722728e-01; 2.725638e-01; 2.728564e-01; 2.723835e-01; 2.718006e-01; 2.716834e-01; 2.715307e-01; 2.710674e-01; 2.705766e-01; 2.699530e-01; 2.693751e-01; 2.685046e-01; 2.672868e-01; 2.656626e-01; 2.651615e-01; 2.657858e-01; 2.668530e-01; 2.677879e-01; 2.687141e-01; 2.694934e-01; 2.702553e-01; 2.711554e-01; 2.723724e-01; 2.732682e-01; 2.737818e-01; 2.745471e-01; 2.743138e-01; 2.728540e-01; 2.722481e-01; 2.726224e-01; 2.739431e-01; 2.755914e-01; 2.776609e-01; 2.802321e-01; 2.830519e-01; 2.854471e-01; 2.875647e-01; 2.892223e-01; 2.904317e-01; 2.912872e-01; 2.917807e-01; 2.921707e-01; 2.923913e-01; 2.926337e-01; 2.934549e-01; 2.933840e-01; 2.929499e-01; 2.926129e-01; 2.925126e-01; 2.923315e-01; 2.927128e-01; 2.928667e-01; 2.927718e-01; 2.927420e-01; 2.925200e-01; 2.921837e-01; 2.917465e-01; 2.912727e-01; 2.907172e-01; 2.901545e-01; 2.894554e-01; 2.888672e-01; 2.881026e-01; 2.873167e-01; 2.866125e-01; 2.862566e-01; 2.858345e-01; 2.852663e-01; 2.847356e-01; 2.842084e-01; 2.838355e-01; 2.835849e-01; 2.831520e-01; 2.826582e-01; 2.821849e-01; 2.817785e-01; 2.814128e-01; 2.811644e-01; 2.808434e-01; 2.805174e-01; 2.800603e-01
"7";"carmenere";"Etalon3-8";2022-07-26; 37.9649041;113.32483; 255.12121; 217.745239;  99.32072; 472.86645;1.1716500; 0.335009586;"carmenere";"8";207;0.8250;"2022";"rouge"; 3.271329e-01; 3.326021e-01; 3.435942e-01; 3.309804e-01; 3.037483e-01; 3.068179e-01; 3.135989e-01; 3.274274e-01; 3.473116e-01; 3.786079e-01; 4.125067e-01; 4.256259e-01; 4.388858e-01; 4.459306e-01; 4.405091e-01; 4.253408e-01; 4.108420e-01; 3.956622e-01; 3.791078e-01; 3.660439e-01; 3.540295e-01; 3.417364e-01; 3.306626e-01; 3.210670e-01; 3.124355e-01; 3.051527e-01; 3.000642e-01; 2.961301e-01; 2.924275e-01; 2.896995e-01; 2.862087e-01; 2.822783e-01; 2.766986e-01; 2.652488e-01; 2.559362e-01; 2.561081e-01; 2.626762e-01; 2.743907e-01; 2.811955e-01; 2.878711e-01; 2.994855e-01; 3.106427e-01; 3.169036e-01; 3.179197e-01; 3.174187e-01; 3.177493e-01; 3.180833e-01; 3.164252e-01; 3.153959e-01; 3.155476e-01; 3.156576e-01; 3.155046e-01; 3.152110e-01; 3.143117e-01; 3.127093e-01; 3.105379e-01; 3.075232e-01; 3.033573e-01; 3.017154e-01; 3.024731e-01; 3.038262e-01; 3.046178e-01; 3.046177e-01; 3.034172e-01; 3.020443e-01; 3.007163e-01; 2.998152e-01; 2.982452e-01; 2.955595e-01; 2.941932e-01; 2.908993e-01; 2.848505e-01; 2.818212e-01; 2.814976e-01; 2.821181e-01; 2.834895e-01; 2.850178e-01; 2.867588e-01; 2.885359e-01; 2.903902e-01; 2.917333e-01; 2.929332e-01; 2.939860e-01; 2.948630e-01; 2.954809e-01; 2.957597e-01; 2.962297e-01; 2.968025e-01; 2.978234e-01; 2.980919e-01; 2.976678e-01; 2.973974e-01; 2.973974e-01; 2.978491e-01; 2.988925e-01; 2.999354e-01; 3.006695e-01; 3.012686e-01; 3.018220e-01; 3.020166e-01; 3.021720e-01; 3.020164e-01; 3.019038e-01; 3.016834e-01; 3.013178e-01; 3.007671e-01; 3.002807e-01; 2.994505e-01; 2.988340e-01; 2.986468e-01; 2.983527e-01; 2.980793e-01; 2.976587e-01; 2.972603e-01; 2.969988e-01; 2.969938e-01; 2.967160e-01; 2.963302e-01; 2.958212e-01; 2.953935e-01; 2.951030e-01; 2.948653e-01; 2.945388e-01; 2.941637e-01; 2.938177e-01
"8";"carmenere";"Etalon1-31";2022-07-08;348.8322045;181.34329; 108.51948;  62.863709; 541.99954; 171.38319;1.7262659; 1.923601338;NA;"31";189;1.0110;"2022";"rouge"; 2.519563e-01; 2.465355e-01; 2.444739e-01; 2.406386e-01; 2.358796e-01; 2.357935e-01; 2.368263e-01; 2.404823e-01; 2.460324e-01; 2.517688e-01; 2.562018e-01; 2.569927e-01; 2.564697e-01; 2.556893e-01; 2.537442e-01; 2.501884e-01; 2.463573e-01; 2.416056e-01; 2.376759e-01; 2.336496e-01; 2.294338e-01; 2.255521e-01; 2.226948e-01; 2.201473e-01; 2.182437e-01; 2.168285e-01; 2.159172e-01; 2.158714e-01; 2.163288e-01; 2.170973e-01; 2.183223e-01; 2.196693e-01; 2.208646e-01; 2.209901e-01; 2.212751e-01; 2.238206e-01; 2.298219e-01; 2.379201e-01; 2.451622e-01; 2.517983e-01; 2.579879e-01; 2.624891e-01; 2.647371e-01; 2.654248e-01; 2.655604e-01; 2.660205e-01; 2.663111e-01; 2.659961e-01; 2.653112e-01; 2.651148e-01; 2.649997e-01; 2.644144e-01; 2.638867e-01; 2.633013e-01; 2.624498e-01; 2.615993e-01; 2.605751e-01; 2.589896e-01; 2.584772e-01; 2.591350e-01; 2.603349e-01; 2.614349e-01; 2.626331e-01; 2.636100e-01; 2.647276e-01; 2.660117e-01; 2.677777e-01; 2.693233e-01; 2.702769e-01; 2.716306e-01; 2.716635e-01; 2.705873e-01; 2.702866e-01; 2.708549e-01; 2.722752e-01; 2.741362e-01; 2.763528e-01; 2.788806e-01; 2.816750e-01; 2.841368e-01; 2.861349e-01; 2.877863e-01; 2.888944e-01; 2.899148e-01; 2.904592e-01; 2.908718e-01; 2.912440e-01; 2.916644e-01; 2.922249e-01; 2.923903e-01; 2.918684e-01; 2.916611e-01; 2.914382e-01; 2.913962e-01; 2.917766e-01; 2.920672e-01; 2.919261e-01; 2.920171e-01; 2.918027e-01; 2.915265e-01; 2.910881e-01; 2.906919e-01; 2.901864e-01; 2.896838e-01; 2.891929e-01; 2.885547e-01; 2.878894e-01; 2.871545e-01; 2.865293e-01; 2.861482e-01; 2.858333e-01; 2.854029e-01; 2.848590e-01; 2.844262e-01; 2.840658e-01; 2.838446e-01; 2.835329e-01; 2.830706e-01; 2.826664e-01; 2.822584e-01; 2.819756e-01; 2.818317e-01; 2.815409e-01; 2.813427e-01; 2.812261e-01
"9";"carmenere";"Etalon2-31";2022-07-15;145.7484957;129.47495; 280.70641; 210.336861; 810.81981; 491.04328;1.3345564; 1.125688772;NA;"31";196;0.9570;"2022";"rouge"; 2.991427e-01; 3.010053e-01; 3.064732e-01; 2.960760e-01; 2.789564e-01; 2.817152e-01; 2.842099e-01; 2.912067e-01; 3.066358e-01; 3.308753e-01; 3.594847e-01; 3.681249e-01; 3.819504e-01; 3.916045e-01; 3.908895e-01; 3.809783e-01; 3.686886e-01; 3.577246e-01; 3.466422e-01; 3.361466e-01; 3.252225e-01; 3.163741e-01; 3.079610e-01; 3.000138e-01; 2.945262e-01; 2.894799e-01; 2.850638e-01; 2.825715e-01; 2.801875e-01; 2.781489e-01; 2.756225e-01; 2.719769e-01; 2.675696e-01; 2.589900e-01; 2.521344e-01; 2.524231e-01; 2.574029e-01; 2.665272e-01; 2.716542e-01; 2.764609e-01; 2.862671e-01; 2.965514e-01; 3.033737e-01; 3.048931e-01; 3.045928e-01; 3.052203e-01; 3.057845e-01; 3.048368e-01; 3.044850e-01; 3.049565e-01; 3.060177e-01; 3.067642e-01; 3.072587e-01; 3.071520e-01; 3.061901e-01; 3.046290e-01; 3.021194e-01; 2.985639e-01; 2.970917e-01; 2.978047e-01; 2.991731e-01; 2.995210e-01; 2.991075e-01; 2.972104e-01; 2.949286e-01; 2.927157e-01; 2.910840e-01; 2.888283e-01; 2.854905e-01; 2.834631e-01; 2.803712e-01; 2.760494e-01; 2.739763e-01; 2.739939e-01; 2.746666e-01; 2.757715e-01; 2.772937e-01; 2.792974e-01; 2.815675e-01; 2.838884e-01; 2.860023e-01; 2.876454e-01; 2.888784e-01; 2.897382e-01; 2.904226e-01; 2.907603e-01; 2.910861e-01; 2.915908e-01; 2.925970e-01; 2.928308e-01; 2.921584e-01; 2.918760e-01; 2.919325e-01; 2.923226e-01; 2.935924e-01; 2.948591e-01; 2.958222e-01; 2.967233e-01; 2.973511e-01; 2.976931e-01; 2.979902e-01; 2.979905e-01; 2.977907e-01; 2.976542e-01; 2.971267e-01; 2.965814e-01; 2.959209e-01; 2.950278e-01; 2.943222e-01; 2.940716e-01; 2.938128e-01; 2.934437e-01; 2.929782e-01; 2.925110e-01; 2.922736e-01; 2.922080e-01; 2.919827e-01; 2.915778e-01; 2.910895e-01; 2.906959e-01; 2.904634e-01; 2.901880e-01; 2.899245e-01; 2.896989e-01; 2.894018e-01
"10";"carmenere";"Etalon2-32";2022-07-15;168.1901331;120.80504; 266.73477; 203.909437; 722.21719; 470.64421;1.3081041; 1.392244365;NA;"32";196;0.9230;"2022";"rouge"; 3.217288e-01; 3.262585e-01; 3.396249e-01; 3.250336e-01; 2.990978e-01; 3.011475e-01; 3.064801e-01; 3.171562e-01; 3.350550e-01; 3.678477e-01; 4.037517e-01; 4.143091e-01; 4.370229e-01; 4.551469e-01; 4.545929e-01; 4.428420e-01; 4.301351e-01; 4.178505e-01; 4.037854e-01; 3.901124e-01; 3.779154e-01; 3.655882e-01; 3.544694e-01; 3.446204e-01; 3.367469e-01; 3.291243e-01; 3.225193e-01; 3.183601e-01; 3.140216e-01; 3.097637e-01; 3.048175e-01; 2.982626e-01; 2.899745e-01; 2.766363e-01; 2.664855e-01; 2.663673e-01; 2.719836e-01; 2.821614e-01; 2.870891e-01; 2.916466e-01; 3.020645e-01; 3.133610e-01; 3.205814e-01; 3.223266e-01; 3.221602e-01; 3.230066e-01; 3.235255e-01; 3.219854e-01; 3.216561e-01; 3.226745e-01; 3.236042e-01; 3.245128e-01; 3.252360e-01; 3.251987e-01; 3.243007e-01; 3.224061e-01; 3.195222e-01; 3.151447e-01; 3.137031e-01; 3.145319e-01; 3.156992e-01; 3.157239e-01; 3.146793e-01; 3.120042e-01; 3.089219e-01; 3.058876e-01; 3.034626e-01; 3.003931e-01; 2.959320e-01; 2.932377e-01; 2.893894e-01; 2.843499e-01; 2.816266e-01; 2.815158e-01; 2.817109e-01; 2.821333e-01; 2.830369e-01; 2.842266e-01; 2.856668e-01; 2.872841e-01; 2.886240e-01; 2.898163e-01; 2.907796e-01; 2.915086e-01; 2.919372e-01; 2.920762e-01; 2.924775e-01; 2.930740e-01; 2.939343e-01; 2.941805e-01; 2.936773e-01; 2.933317e-01; 2.934549e-01; 2.939814e-01; 2.954939e-01; 2.968486e-01; 2.979758e-01; 2.990894e-01; 2.998154e-01; 3.003641e-01; 3.007150e-01; 3.009100e-01; 3.007509e-01; 3.007430e-01; 3.003730e-01; 3.000526e-01; 2.993559e-01; 2.986281e-01; 2.980323e-01; 2.978352e-01; 2.975959e-01; 2.974209e-01; 2.969210e-01; 2.965581e-01; 2.963738e-01; 2.964352e-01; 2.962887e-01; 2.958716e-01; 2.953451e-01; 2.949927e-01; 2.948144e-01; 2.944579e-01; 2.941230e-01; 2.938746e-01; 2.934998e-01
